RegionID,RegionName,SizeRank,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04
102001,United States,0,1265,1271,1277,1282,1288,1293,1299,1304,1310,1316,1321,1326,1332,1337,1342,1347,1352,1357,1362,1367,1372,1377,1382,1386,1391,1396,1400,1404,1408,1412,1416,1420,1424,1428,1431,1435,1438,1442,1445,1449,1452,1455,1459,1462,1466,1469,1473,1477,1481,1486,1490,1494,1499,1503,1508,1513,1517,1522,1526,1531,1536,1540,1545,1549,1553,1558,1562,1566,1570,1574,1578,1582,1586,1590,1594,1598
394913,"New York, NY",1,2180,2190,2200,2210,2220,2230,2240,2250,2260,2271,2280,2289,2299,2308,2317,2325,2334,2342,2351,2358,2365,2372,2378,2383,2389,2393,2397,2401,2405,2408,2412,2415,2418,2421,2424,2427,2430,2433,2436,2439,2441,2443,2446,2448,2450,2452,2455,2458,2461,2464,2467,2471,2474,2478,2482,2486,2491,2496,2501,2506,2511,2517,2522,2528,2533,2538,2543,2547,2551,2555,2559,2562,2566,2569,2572,2576
753899,"Los Angeles-Long Beach-Anaheim, CA",2,1783,1797,1810,1823,1837,1850,1863,1876,1889,1902,1914,1926,1937,1948,1958,1969,1980,1990,2001,2012,2024,2035,2047,2058,2070,2081,2092,2104,2114,2124,2134,2143,2152,2162,2170,2179,2188,2197,2205,2214,2222,2230,2238,2246,2253,2261,2268,2276,2283,2291,2298,2306,2314,2321,2329,2337,2344,2352,2359,2366,2373,2380,2387,2393,2399,2406,2412,2418,2424,2429,2435,2441,2447,2453,2459,2464
394463,"Chicago, IL",3,1380,1384,1388,1393,1397,1401,1405,1410,1414,1418,1422,1426,1430,1433,1437,1441,1445,1448,1452,1456,1461,1465,1470,1474,1479,1483,1487,1490,1493,1496,1499,1502,1504,1507,1509,1511,1513,1515,1517,1519,1521,1522,1524,1526,1528,1530,1532,1534,1536,1538,1541,1543,1545,1548,1550,1553,1556,1558,1562,1565,1568,1571,1575,1578,1582,1585,1589,1592,1595,1598,1601,1604,1607,1610,1613,1616
394514,"Dallas-Fort Worth, TX",4,1178,1183,1189,1194,1199,1205,1210,1216,1221,1226,1232,1238,1243,1249,1254,1259,1264,1269,1275,1280,1285,1290,1295,1301,1306,1312,1317,1323,1328,1334,1339,1344,1349,1354,1358,1363,1367,1371,1375,1379,1383,1387,1390,1394,1398,1401,1404,1408,1411,1414,1417,1420,1424,1427,1431,1435,1439,1443,1447,1451,1455,1460,1464,1468,1472,1475,1479,1482,1485,1489,1492,1495,1498,1502,1505,1508
394974,"Philadelphia, PA",5,1291,1294,1296,1298,1300,1303,1305,1307,1310,1312,1315,1317,1320,1323,1325,1328,1331,1334,1337,1340,1344,1347,1350,1353,1357,1360,1363,1366,1369,1372,1376,1378,1381,1384,1386,1388,1391,1393,1395,1397,1399,1400,1402,1404,1406,1408,1411,1413,1416,1419,1423,1426,1430,1434,1438,1442,1446,1450,1454,1458,1462,1466,1469,1473,1477,1480,1484,1488,1491,1495,1498,1502,1505,1509,1513,1516
394692,"Houston, TX",6,1275,1284,1294,1303,1312,1321,1330,1339,1348,1357,1363,1370,1376,1379,1383,1387,1389,1392,1394,1396,1397,1399,1399,1400,1400,1400,1400,1400,1399,1398,1398,1396,1395,1394,1392,1391,1389,1389,1388,1388,1390,1392,1394,1398,1402,1406,1410,1414,1418,1422,1425,1429,1430,1432,1433,1434,1435,1435,1436,1437,1438,1440,1441,1443,1444,1446,1447,1449,1451,1453,1454,1456,1458,1460,1461,1463
395209,"Washington, DC",7,1741,1744,1748,1751,1755,1758,1761,1765,1768,1771,1774,1776,1779,1781,1782,1784,1786,1789,1791,1795,1798,1801,1804,1807,1810,1813,1815,1818,1820,1822,1824,1827,1829,1831,1833,1836,1838,1840,1842,1845,1846,1847,1848,1849,1850,1851,1853,1855,1858,1861,1864,1868,1872,1876,1881,1885,1890,1894,1898,1902,1906,1910,1914,1917,1921,1924,1928,1931,1934,1938,1941,1944,1947,1951,1954,1957
394856,"Miami-Fort Lauderdale, FL",8,1546,1554,1561,1569,1576,1584,1591,1598,1606,1613,1621,1629,1637,1645,1653,1661,1668,1676,1684,1691,1699,1706,1713,1719,1725,1730,1735,1740,1743,1747,1750,1753,1755,1758,1760,1761,1763,1765,1767,1769,1772,1774,1776,1779,1782,1785,1788,1792,1795,1799,1803,1807,1811,1815,1820,1824,1828,1832,1836,1840,1844,1847,1851,1854,1858,1861,1864,1868,1872,1876,1880,1884,1888,1892,1897,1901
394347,"Atlanta, GA",9,1088,1092,1096,1100,1105,1109,1113,1118,1122,1127,1132,1136,1141,1146,1152,1157,1162,1167,1172,1177,1182,1188,1194,1199,1205,1211,1217,1223,1229,1235,1241,1247,1252,1258,1263,1268,1273,1278,1283,1288,1293,1298,1303,1308,1314,1319,1325,1330,1336,1342,1348,1354,1360,1367,1374,1381,1388,1395,1401,1407,1414,1420,1425,1431,1436,1440,1445,1448,1452,1456,1460,1464,1468,1471,1475,1479
