RegionID,RegionName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03
102001,United States,0,181900,178800,174900,171800,170600,170400,169700,168500,165800,162200,159600,157900,155800,151700,148500,148000,149700,152100,153800,155500,157000,157800,158900,158800,159300,156700,154600,152200,152400,153000,154200,153900,153700,152800,152600,151500,148600,145800,143500,143900,145100,145500,145400,145100,145400,146400,145700,145600,145400,147100,148500,150500,152200,154500,155000,155900,156700,159400,160500,161000,161000,162200,164300,166300,169200,171500,172400,172300,170900,171400,170900,171900,171500,171800,172300,173200,174700,176400,177800,178100,178300,179100,180300,182000,183500,185300,186600,187400,188200,188300,188600,188100,187900,189600,191000,192100,191700,192300,192900,194400,195100,196900,197300,199100,200700,201600,202100,202700,203800,204200,204500,205000,206500,207600,209500,211000,213300,213900,216200,219700,223000,223300,220900,219900,219200,219300,219200,220500,222700,224000,226300,228200,230600,231000,231000,231700,232100,232900,233600,236000,239400,242400,245500,250000,
394913,"New York, NY",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363200,363400,363200,362200,362600,360200,356900,355300,353700,354400,351200,345200,342100,340000,341900,345800,350000,354000,357000,356500,353500,349700,352300,356200,354800,353300,350100,354100,351100,355000,354900,359900,363900,367200,369100,365200,363000,362600,365400,366100,364900,364400,364300,364200,365200,364200,362700,361900,362600,368900,370600,370900,367700,365000,366500,363400,363200,362800,364700,366200,367800,365800,364400,363400,365300,366200,365900,365800,366800,365500,367900,367100,368000,364000,364700,365400,368700,370500,370200,371500,369600,371500,371200,375700,376800,378700,377100,377900,378500,380800,381800,384100,384400,385000,383600,384300,385200,387900,389700,390300,392000,392500,393600,395000,395900,398000,401200,406800,413200,415300,418600,433100
753899,"Los Angeles-Long Beach-Anaheim, CA",2,470900,459300,443700,432300,417200,404800,389800,378400,366100,355600,341800,332200,325500,319600,316600,322500,332500,341100,347300,352400,359100,362200,366200,363200,361400,356900,360800,358500,360400,356000,360400,358400,360200,356800,353500,353200,351100,351900,346700,342900,340900,339100,338400,333800,333300,331400,332000,330800,332200,336900,340000,344500,348700,356000,363700,370600,378600,386800,391900,395900,402300,415200,426400,436400,442500,447100,449500,450700,451500,452300,451000,453400,452700,456600,460600,462900,465700,466600,470200,473200,474300,476200,477000,483000,487100,492100,490800,494200,495100,499400,498300,497900,499700,507300,514700,516800,517600,519600,524400,525200,526000,529000,531400,528300,525400,521500,524900,521300,525800,527900,536300,538200,539200,540000,546800,558900,577100,587600,596000,598400,603200,603100,604500,606700,609400,610800,613200,618600,625300,625200,626600,625800,631900,635700,633300,631200,633300,637400,641700,644200,650700,658500,667600,676600,
394463,"Chicago, IL",3,251100,245900,231500,220500,217700,219900,224400,224300,217800,213600,207600,206700,201900,195800,186900,180400,180800,186300,190600,193100,192200,191900,192900,194400,192200,187200,180200,177800,173600,175500,173800,179000,178400,178400,175500,173500,168900,163300,156400,154300,155900,160700,162700,161200,156500,155500,152700,152600,151800,153000,152800,154400,156100,158500,158200,156300,155900,154900,156000,153900,153000,152600,156200,161000,168700,174800,178500,179400,177800,178500,177700,179000,177200,176800,176900,180800,184700,191300,193600,194000,190400,188900,189300,188800,189400,190800,192300,192400,190600,187100,184900,183200,181400,180400,178200,179100,179500,181400,182600,182700,183600,186200,187400,188500,188900,191300,193400,195700,198200,199000,198400,196500,195700,196900,197500,198700,199400,201600,206300,210600,216700,217400,215500,213900,214500,217200,217000,217800,220400,217800,219300,223300,232900,235600,232300,226300,222700,223300,224500,227700,229700,233900,234600,241400,249000
394514,"Dallas-Fort Worth, TX",4,144500,144100,142700,142500,144600,146500,146600,144800,143300,141400,139800,139600,140000,139800,140400,142900,146400,148800,149300,148700,147500,145800,144600,144400,145400,147100,146200,146400,147100,151100,152800,151400,150000,149900,151200,150300,146600,143000,141500,142400,145400,147300,149300,149300,148400,149600,149500,150700,150800,153200,155400,157600,159400,160200,162600,162600,163000,162500,163200,163200,163700,167200,170700,173100,176000,177200,179100,177800,178500,177800,176400,176800,177500,179100,179500,180700,182900,184900,185400,186000,187100,189600,191400,192700,193400,194900,196800,199000,201300,202300,202600,202700,202900,204000,203900,206000,207400,210000,212000,214800,216300,217600,219300,221800,224800,225600,227600,229900,232200,233500,233200,232900,232900,234200,236500,239000,240000,242300,243900,248000,249100,249300,247600,247500,248200,246400,246500,245800,247700,247900,248700,249300,249300,250200,251200,252700,254000,256300,258500,261400,263400,265400,268300,270000,
394974,"Philadelphia, PA",5,211700,211200,207100,199500,195600,196100,198600,199100,199800,197000,196100,194500,198300,198100,194300,188500,185600,188000,190600,192900,194800,197000,199200,200600,201200,201200,195900,190600,187000,184500,186300,187600,193000,194600,197200,197900,196000,192000,183400,180400,179000,182200,182000,182800,182800,184800,184400,185900,184700,184100,182500,183400,182300,183900,181700,184000,185500,189800,191100,190000,188700,187800,186600,188000,190000,193200,193100,192300,192000,192100,192700,191200,192100,190400,190000,189800,190100,191300,190500,191400,190000,189700,189000,188400,189000,191300,192500,192400,190200,190400,191800,191900,190900,187300,188600,190600,191400,189700,189100,191400,193000,192300,191900,191100,191500,195400,194400,196800,194600,197000,198400,199100,199600,197200,196300,194900,195500,196300,196700,194100,195400,196000,198800,197000,196500,197200,197700,198500,199900,201800,203300,205500,206700,212800,213200,215400,212900,213400,212900,216000,223100,228400,230400,231900,
394692,"Houston, TX",6,145800,144100,141400,142000,142900,144400,146500,145100,141200,135500,134300,134600,136900,138800,141400,144300,146600,149200,150300,149900,148000,145500,145200,144800,145100,144900,143500,142900,141900,144000,145100,146200,147500,150100,149700,148500,145200,142800,141100,142000,143300,146200,146700,148700,148500,150400,148800,146000,143700,146600,150300,154100,154700,155300,153800,153700,155400,156400,156500,154300,154900,158900,163400,167200,168700,170500,171600,171600,173100,173300,173200,173400,174800,177400,178300,178600,177400,179000,179700,181800,181000,182100,183900,184900,185400,184500,185600,187900,189300,190500,188400,188300,186400,188100,189500,190300,188400,188800,190600,193900,196000,196600,198000,198700,201000,201500,201800,202400,203100,203400,203900,205300,205500,205500,206500,208500,210100,208900,208800,209900,211200,213700,214400,214600,213300,213200,214000,215200,216200,218400,218800,220100,219800,221600,223000,224200,223900,224000,224800,228200,230700,233800,234400,235200,
395209,"Washington, DC",7,352900,342200,326700,313600,309700,308900,302000,294200,287800,281600,280400,276100,277500,270900,268400,269800,278200,289200,292600,290300,286100,284000,283000,279200,276600,277900,278000,276300,281300,277800,286100,282400,293000,290900,288200,286200,281600,279600,276000,277500,287100,294800,303100,294300,290500,282000,283800,278300,289700,296100,307900,310000,318600,320800,319600,316800,318700,318200,319600,315000,323400,326600,337300,339800,345700,347500,345500,342500,341700,341100,342000,339200,341000,337300,344100,345500,352200,349000,347000,345900,346800,350700,349000,349800,355000,355600,354300,346300,344600,342900,346200,348900,349400,343800,342600,345300,347400,348500,346300,348000,348600,349900,350000,353100,352900,354000,356000,356100,359100,357800,360300,358000,359700,360400,363700,363800,365800,368500,370800,371600,377600,379900,381800,375100,372600,373700,375800,376600,378000,378400,381800,383800,394400,394400,394800,387000,387500,388800,392500,395300,403700,403700,402200,398900,
394856,"Miami-Fort Lauderdale, FL",8,253200,244100,236500,229600,225600,222700,214400,206100,194000,187200,175300,166200,157100,149400,142800,138600,140100,143000,145000,144300,143800,144500,144200,143200,142100,140100,140000,137500,134200,129200,125100,126200,127300,126700,120400,115700,112900,114400,117900,121100,125300,123900,123000,121400,121400,124300,127000,129800,129700,132100,132400,136000,135700,137500,138600,140500,142700,147500,152200,155000,153300,154300,158800,162800,165800,168800,171400,172600,173300,175000,177200,176000,176800,177100,179900,181600,185900,185900,187700,186300,190400,192100,194100,193800,195400,197100,202600,206300,208800,207600,206700,206500,204300,205600,207100,213200,215100,217600,218100,219700,221000,223100,225600,228100,227100,227500,227900,232400,234000,236800,236300,238400,238200,241700,243900,245800,245500,247000,251300,253700,256500,255200,254100,252900,251800,252400,251400,255500,258000,260100,258300,261700,265200,267500,266100,266500,266600,269100,268100,271400,272700,277200,280100,285900,
394347,"Atlanta, GA",9,161200,153900,148600,145000,144100,145500,144400,143100,136500,130200,126300,123300,120900,115700,113000,113100,118100,123200,128300,130800,133800,133400,131900,126500,121700,119000,119400,119000,117600,114900,116500,117600,119800,117600,116700,110300,105900,100100,97600,96400,96800,96700,95000,91500,92400,92700,93400,92400,93400,95000,96100,96400,98400,100600,103400,105100,107500,111900,113700,117900,121200,127000,129900,133100,136500,139400,139100,138800,138700,139800,138900,139700,140200,142200,145900,149600,153900,155100,155500,155700,156300,159800,159900,162300,163000,173000,174700,175600,169500,169700,170900,171000,173100,173800,175100,174200,174800,175000,175000,172800,173600,174100,176300,177000,180300,179600,181500,181400,184700,185200,186500,187500,187800,186700,188100,190500,193700,194800,196700,200600,202800,205300,204000,204600,203400,200700,203600,206000,211200,211800,215700,218000,219100,217500,218600,219800,221700,221800,225500,227200,232600,233900,237500,241700,
